"segmentLabels__BUILDING","segmentLabels__VALUE","segmentLabels__BUSINESS","segmentLabels__CHECKIN","segmentLabels__LOCATION","segmentLabels__FOOD","segmentLabels__CLEANLINESS","segmentLabels__ROOMS","segmentLabels__SERVICE","segmentLabels__NOTRELATED","annotatorId","ratingOverall","ratingRoom","author","hotelId","reviewId","ratingLocation","ratingCleanliness","ratingService","ratingBusiness","ratingValue","segmentLabels__OTHER","date","ratingCheckin","segments"
"","","","","ip","","","","","","1","5","-1","sharonlovesspain","599363","599363:58","-1","-1","-1","-1","-1","p","Feb 12, 2007","-1","Little Gem and close to all you want to see in Madrid"
"","","","","","","","","","","","","","","","","","","","","","p","","","This is wonderful hotel-finished to a high standard."
"","","","","","","","","","","","","","","","","","","","","","","","","If you don't want to stay in a hi tech hotel (of which there are many in Madrid) and prefer a bit of old Spain - stay here.!"
"","","","","","","","p","","","","","","","","","","","","","","","","","The rooms are very comfortable with a beautifully done separate bathroom."
"","","","","ip","","","p","","","","","","","","","","","","","","","","","Ours had a walk in shower room- very luxurious for a 4 star and air conditioning- which we did need in Feb as hotel was a bit too hot for us.This hotel is surrounded by great little bars and resturants- stay off Santa Ana for value and is walking distance to all the other major points of interest."
"","","","","","","","","","","","","","","","","","","","","","","","","(musems, Sol,La Latina, Plaza Mayor,Palacio Real, Gran Via))."
"","","","","","","","","","","","","","","","","","","","","","","","","We didn't get the metro once."
"","","","","","","","","","","","","","","","","","","","","","","","","Madrid is fabulous and I hope to return when the weather is warmer."
"","","","","","","","","","","","","","","","","","","","","","p","","","I would recommend this hotel to anyone who likes a bit of style and comfort."
"","p","","","","","","","","","","","","","","","","","","","","","","","The value was brillant- room BB per night was 99euro- a bargain."
"","","","","","","","","","","","","","","","","","","","","","ip","","","I've don't have any photos but I would say that the hotel web site photos do not do this Hotel justice."
"","","","","ip","","","","","","","","","","","","","","","","","","","","Also this is a safer area than say- Sol and the Gran Via-where I saw an attempt at pic-pocketing etc at night time."
"","","","","","","","","","","","","","","","","","","","","","","","","Be careful where you stay in this city."
"","","","","","","","","","","","","","","","","","","","","","ip","","","We're glad we stayed on Calle del Prado at this hotel and will stay here again!!"
"","","","","","","","","","","0","5","5","Sabrina-Mitchell","232502","232502:119","-1","5","5","-1","4","p","Mar 17, 2006","-1","Brilliant Hotel We stayed in this hotel for our honeymoon and i was nervous about staying here as i had booked it online."
"","","","","p","","","","","","","","","","","","","","","","","p","","","It was delightful - very central to everywhere."
"","","","","","","","p","ip","","","","","","","","","","","","","","","","The room we stayed in was large and airy and i loved coming back to the room each night to find the bed turned down and two mini toblerones on each pillow."
"","","","","","p","","","","","","","","","","","","","","","","","","","Had breakfast in the restaurant on our first morning there but i didn't think it was worth the money but that was just us we didn't like the food there was and we were able to go to a juice bar or a bakery or grocers and get something far cheaper and much more to our taste.i would definately go back here again."
"","","","","","","","","p","","2","4","4","NewYorkCityTravelFan","99371","99371:36","5","4","5","4","4","","Sep 9, 2008","4","Great customer service"
"","","","","","","","","","x","","","","","","","","","","","","","","","My two sisters and I get together once a year or so to have a fun NYC weekend, and it's important for us to stay together."
"","","","","","","","","","","","","","","","","","","","","","x","","","This hotel was the only one in our price range that would guarantee separate beds."
"","","","","","","","p","","","","","","","","","","","","","","","","","We had a very large room with two queen beds and a large (and comfortable) sofa bed."
"","","","","","","","p","","","","","","","","","","","","","","","","","The obviously new beds and bedding were super-luxurious."
"","","","","","","","p","","","","","","","","","","","","","","","","","All of our requests were accommodated (high floor, refrigerator, extra towels, etc.)"
"","","","","","","","p","","","","","","","","","","","","","","","","","My working sister appreciated the free wi-fi."
"","","","","","","","","p","","","","","","","","","","","","","","","","And most important of all, the service people - front desk, bellmen, restaurant staff, housekeeping - were beyond helpful, cooperative, cheerful and friendly."
"","","","","","","","","","","","","","","","","","","","","","p","","","I highly recommend this hotel for families and/or friends who want to hang out together instead of booking small separate rooms."
"","","","","","","","","","","","","","","","","","","","","","p","","","We will definitely return."
"","","","","","","","","","","1","5","-1","gigglezwmn","148045","148045:287","-1","-1","-1","-1","-1","","Jan 26, 2007","-1","Travelled with three children"
"","","","","","","","","","","","","","","","","","","","","","","","","My three children ages 9, 14, 16 and I stayed at the El Conquistador from Jan 20-25, 2007."
"","","","","","","","","","","","","","","","","","","","","","","","","We had a one bedroom suite on the fourth floor adjacent to the Golden Door Spa."
"","","","","","","","p","","","","","","","","","","","","","","","","","Our room was beautiful and spacious and if you can afford it, I highly recommend the bigger room when staying with children."
"","","","","","","","ip","","","","","","","","","","","","","","","","","The main entrance to the suite was awe inspiring."
"","","","","","","","","","","","","","","","","","","","","","","","","We just said WOW!."
"","","","","","","","","","","","","","","","","","","","","","","","","To the left of the open foyer was the bar."
"","","","","","","","ip","","","","","","","","","","","","","","","","","It had a marble countertop, two cushioned bar stools w/ backs, two refrigerators under the sink/countertop."
"","","","","","","","ip","","","","","","","","","","","","","","","","","The dining room had a six seating table, the living room had several wicker chairs w/ cushions a nice sofa and a full sized bed that you pulled out of the wall."
